Name,,Height,Weight,BMI,Age,,number of samples ,Average of height,Average of weight,Average of  Age,Average of BMI,
Rachel Banham,,175,76,24.81632653,24,,,,,,,
Ramu Tokashiki,,193,80,21.47708663,25,,,,,,,
Rebecca Allen,,188,74,20.9370756,25,,,,,,,
Rebekkah Brunson,,188,84,23.76641014,35,,,,,,,
Renee Montgomery,,170,63,21.79930796,31,,,,,,,
Riquna Williams,,170,75,25.95155709,27,,,,,,,
Sami Whitcomb,,178,66,20.83070319,29,,,,,,,
Sancho Lyttle,,193,79,21.20862305,33,,,,,,,
Sandrine Gruda,,193,84,22.55094096,30,,,,,,,
Saniya Chong,,173,64,21.383942,23,,,,,,,
Seimone Augustus,,183,77,22.99262444,33,,,,,,,
Sequoia Holmes,,185,70,20.45288532,31,,,,,,,
Shatori Walker-Kimbrough,,180,64,19.75308642,22,,,,,,,
Shavonte Zellous,,178,85,26.82742078,30,,,,,,,
Shay Murphy,,180,74,22.83950617,32,,,,,,,
Shekinna Stricklen,,188,81,22.91760978,27,,,,,,,
Shenise Johnson,,180,78,24.07407407,26,,,,,,,
Skylar Diggins-Smith,,175,66,21.55102041,27,,,,,,,
Stefanie Dolson,,196,97,25.24989588,25,,,,,,,
Stephanie Talbot,,185,87,25.42001461,26,,,,,,,
Sue Bird,,175,68,22.20408163,36,,,,,,,
Sugar Rodgers,,175,75,24.48979592,28,,,,,,,
Sydney Colson,,173,64,21.383942,28,,,,,,,
Sydney Wiese,,183,68,20.30517483,25,,,,,,,
Sylvia Fowles,,198,96,24.48729721,32,,,,,,,
Tamera Young,,188,77,21.78587596,30,,,,,,,
Tayler Hill,,175,66,21.55102041,26,,,,,,,
Temi Fagbenle,,193,89,23.89325888,25,,,,,,,
Theresa Plaisance,,196,91,23.68804665,25,,,,,,,
Tianna Hawkins,,191,87,23.84803048,26,,,,,,,
Tierra Ruffin-Pratt,,178,83,26.19618735,25,,,,,,,
Tiffany Hayes,,178,70,22.09317005,27,,,,,,,
Tiffany Jackson,,191,84,23.0256846,32,,,,,,,
Tiffany Mitchell,,175,69,22.53061224,32,,,,,,,
Tina Charles,,193,84,22.55094096,29,,,,,,,
Yvonne Turner,,175,59,19.26530612,29,,,,,,,
